,Bot_Equity
2024-04-17 00:00:00+00:00,9898.0
2024-04-18 00:00:00+00:00,9898.0
2024-04-19 00:00:00+00:00,9898.0
2024-04-22 00:00:00+00:00,10093.9804
2024-04-23 00:00:00+00:00,10093.9804
2024-04-24 00:00:00+00:00,10093.9804
2024-04-25 00:00:00+00:00,10093.9804
2024-04-26 00:00:00+00:00,10093.9804
2024-04-29 00:00:00+00:00,9991.02179992
2024-04-30 00:00:00+00:00,9889.113377560816
2024-05-01 00:00:00+00:00,9589.58260386863
2024-05-02 00:00:00+00:00,9589.58260386863
2024-05-03 00:00:00+00:00,9589.58260386863
2024-05-06 00:00:00+00:00,9491.76886130917
2024-05-07 00:00:00+00:00,9491.76886130917
2024-05-08 00:00:00+00:00,9491.76886130917
2024-05-09 00:00:00+00:00,9491.76886130917
2024-05-10 00:00:00+00:00,9964.135535583886
2024-05-13 00:00:00+00:00,10256.922901734997
2024-05-14 00:00:00+00:00,10256.922901734997
2024-05-15 00:00:00+00:00,10460.00997518935
2024-05-16 00:00:00+00:00,10353.317873442418
2024-05-17 00:00:00+00:00,10143.187348015746
2024-05-20 00:00:00+00:00,10143.187348015746
2024-05-21 00:00:00+00:00,10238.513428439892
2024-05-22 00:00:00+00:00,10238.513428439892
2024-05-23 00:00:00+00:00,10238.513428439892
2024-05-24 00:00:00+00:00,10238.513428439892
2024-05-27 00:00:00+00:00,10238.513428439892
2024-05-28 00:00:00+00:00,10030.712969436812
2024-05-29 00:00:00+00:00,9928.399697148558
2024-05-30 00:00:00+00:00,9928.399697148558
2024-05-31 00:00:00+00:00,10124.982011152098
2024-06-03 00:00:00+00:00,10124.982011152098
2024-06-04 00:00:00+00:00,10124.982011152098
2024-06-05 00:00:00+00:00,10529.900696741373
2024-06-06 00:00:00+00:00,10210.961153611695
2024-06-07 00:00:00+00:00,10201.793548387071
2024-06-10 00:00:00+00:00,10201.793548387071
2024-06-11 00:00:00+00:00,10201.793548387071
2024-06-12 00:00:00+00:00,10201.793548387071
2024-06-13 00:00:00+00:00,10201.793548387071
2024-06-14 00:00:00+00:00,10201.793548387071
2024-06-17 00:00:00+00:00,10403.789060645135
2024-06-18 00:00:00+00:00,10403.789060645135
2024-06-19 00:00:00+00:00,10403.789060645135
2024-06-20 00:00:00+00:00,10403.789060645135
2024-06-21 00:00:00+00:00,10609.784084045908
2024-06-24 00:00:00+00:00,10709.495259259136
2024-06-25 00:00:00+00:00,10921.543265392467
2024-06-26 00:00:00+00:00,10810.143524085464
2024-06-27 00:00:00+00:00,11014.286632566804
2024-06-28 00:00:00+00:00,11232.369507891626
2024-07-01 00:00:00+00:00,11232.369507891626
2024-07-02 00:00:00+00:00,11232.369507891626
2024-07-03 00:00:00+00:00,11117.799338911133
2024-07-04 00:00:00+00:00,11117.799338911133
2024-07-05 00:00:00+00:00,11117.799338911133
2024-07-08 00:00:00+00:00,11004.397785654239
2024-07-09 00:00:00+00:00,11004.397785654239
2024-07-10 00:00:00+00:00,11222.284861810193
2024-07-11 00:00:00+00:00,11222.284861810193
2024-07-12 00:00:00+00:00,11222.284861810193
2024-07-15 00:00:00+00:00,11222.284861810193
2024-07-16 00:00:00+00:00,11222.284861810193
2024-07-17 00:00:00+00:00,11222.284861810193
2024-07-18 00:00:00+00:00,11222.284861810193
2024-07-19 00:00:00+00:00,11222.284861810193
2024-07-22 00:00:00+00:00,11222.284861810193
2024-07-23 00:00:00+00:00,11222.284861810193
2024-07-24 00:00:00+00:00,11107.817556219728
2024-07-25 00:00:00+00:00,11107.817556219728
2024-07-26 00:00:00+00:00,10994.517817146287
2024-07-29 00:00:00+00:00,10994.517817146287
2024-07-30 00:00:00+00:00,10994.517817146287
2024-07-31 00:00:00+00:00,10994.517817146287
2024-08-01 00:00:00+00:00,10994.517817146287
2024-08-02 00:00:00+00:00,10994.517817146287
2024-08-05 00:00:00+00:00,10994.517817146287
2024-08-06 00:00:00+00:00,10994.517817146287
2024-08-07 00:00:00+00:00,11212.209269925783
2024-08-08 00:00:00+00:00,11212.209269925783
2024-08-09 00:00:00+00:00,11097.84473537254
2024-08-12 00:00:00+00:00,11097.84473537254
2024-08-13 00:00:00+00:00,11317.582061132916
2024-08-14 00:00:00+00:00,11317.582061132916
2024-08-15 00:00:00+00:00,11317.582061132916
2024-08-16 00:00:00+00:00,11317.582061132916
2024-08-19 00:00:00+00:00,11317.582061132916
2024-08-20 00:00:00+00:00,11317.582061132916
2024-08-21 00:00:00+00:00,11541.670185943349
2024-08-22 00:00:00+00:00,11541.670185943349
2024-08-23 00:00:00+00:00,11541.670185943349
2024-08-26 00:00:00+00:00,11541.670185943349
2024-08-27 00:00:00+00:00,11541.670185943349
2024-08-28 00:00:00+00:00,11541.670185943349
2024-08-29 00:00:00+00:00,11541.670185943349
2024-08-30 00:00:00+00:00,11541.670185943349
2024-09-02 00:00:00+00:00,11541.670185943349
2024-09-03 00:00:00+00:00,11423.945150046726
2024-09-04 00:00:00+00:00,11423.945150046726
2024-09-05 00:00:00+00:00,11531.307843524672
2024-09-06 00:00:00+00:00,11759.62773882646
2024-09-09 00:00:00+00:00,11639.679535890431
2024-09-10 00:00:00+00:00,11639.679535890431
2024-09-11 00:00:00+00:00,11639.679535890431
2024-09-12 00:00:00+00:00,11639.679535890431
2024-09-13 00:00:00+00:00,11639.679535890431
2024-09-16 00:00:00+00:00,11639.679535890431
2024-09-17 00:00:00+00:00,11520.954804624349
2024-09-18 00:00:00+00:00,11520.954804624349
2024-09-19 00:00:00+00:00,11520.954804624349
2024-09-20 00:00:00+00:00,11520.954804624349
2024-09-23 00:00:00+00:00,11520.954804624349
2024-09-24 00:00:00+00:00,11749.069709755911
2024-09-25 00:00:00+00:00,11749.069709755911
2024-09-26 00:00:00+00:00,11749.069709755911
2024-09-27 00:00:00+00:00,11749.069709755911
2024-09-30 00:00:00+00:00,11749.069709755911
2024-10-01 00:00:00+00:00,11981.701290009078
2024-10-02 00:00:00+00:00,12094.305798000634
2024-10-03 00:00:00+00:00,12207.968567662476
2024-10-04 00:00:00+00:00,12322.69954458011
2024-10-07 00:00:00+00:00,12197.008009225392
2024-10-08 00:00:00+00:00,12072.598527531292
2024-10-09 00:00:00+00:00,12072.598527531292
2024-10-10 00:00:00+00:00,11827.573550720457
2024-10-11 00:00:00+00:00,11706.93230050311
2024-10-14 00:00:00+00:00,11587.521591037977
2024-10-15 00:00:00+00:00,11587.521591037977
2024-10-16 00:00:00+00:00,11587.521591037977
2024-10-17 00:00:00+00:00,11469.32887080939
2024-10-18 00:00:00+00:00,11469.32887080939
2024-10-21 00:00:00+00:00,11469.32887080939
2024-10-22 00:00:00+00:00,11469.32887080939
2024-10-23 00:00:00+00:00,11469.32887080939
2024-10-24 00:00:00+00:00,11696.421582451416
2024-10-25 00:00:00+00:00,11696.421582451416
2024-10-28 00:00:00+00:00,11577.118082310411
2024-10-29 00:00:00+00:00,11459.031477870845
2024-10-30 00:00:00+00:00,11685.920301132688
2024-10-31 00:00:00+00:00,11685.920301132688
2024-11-01 00:00:00+00:00,11685.920301132688
2024-11-04 00:00:00+00:00,11685.920301132688
2024-11-05 00:00:00+00:00,11917.301523095115
2024-11-06 00:00:00+00:00,11917.301523095115
2024-11-07 00:00:00+00:00,11917.301523095115
2024-11-08 00:00:00+00:00,11917.301523095115
2024-11-11 00:00:00+00:00,11917.301523095115
2024-11-12 00:00:00+00:00,11917.301523095115
2024-11-13 00:00:00+00:00,11917.301523095115
2024-11-14 00:00:00+00:00,12153.2640932524
2024-11-15 00:00:00+00:00,12153.2640932524
2024-11-18 00:00:00+00:00,12153.2640932524
2024-11-19 00:00:00+00:00,12153.2640932524
2024-11-20 00:00:00+00:00,12393.898722298796
2024-11-21 00:00:00+00:00,12889.55601575692
2024-11-22 00:00:00+00:00,12758.082544396199
2024-11-25 00:00:00+00:00,12627.950102443358
2024-11-26 00:00:00+00:00,12627.950102443358
2024-11-27 00:00:00+00:00,12877.983514471736
2024-11-28 00:00:00+00:00,12877.983514471736
2024-11-29 00:00:00+00:00,12877.983514471736
2024-12-02 00:00:00+00:00,12877.983514471736
2024-12-03 00:00:00+00:00,12877.983514471736
2024-12-04 00:00:00+00:00,12877.983514471736
2024-12-05 00:00:00+00:00,12877.983514471736
2024-12-06 00:00:00+00:00,12877.983514471736
2024-12-09 00:00:00+00:00,12746.628082624124
2024-12-10 00:00:00+00:00,12746.628082624124
2024-12-11 00:00:00+00:00,12746.628082624124
2024-12-12 00:00:00+00:00,13121.176546993302
2024-12-13 00:00:00+00:00,12987.34054621397
2024-12-16 00:00:00+00:00,13244.489889029008
2024-12-17 00:00:00+00:00,13774.164058450651
2024-12-18 00:00:00+00:00,13774.164058450651
2024-12-19 00:00:00+00:00,13774.164058450651
2024-12-20 00:00:00+00:00,14325.020978442772
2024-12-23 00:00:00+00:00,14325.020978442772
2024-12-24 00:00:00+00:00,14325.020978442772
2024-12-25 00:00:00+00:00,14325.020978442772
2024-12-26 00:00:00+00:00,14325.020978442772
2024-12-27 00:00:00+00:00,14325.020978442772
2024-12-30 00:00:00+00:00,14325.020978442772
2024-12-31 00:00:00+00:00,14608.656393815938
2025-01-01 00:00:00+00:00,14608.656393815938
2025-01-02 00:00:00+00:00,14608.656393815938
2025-01-03 00:00:00+00:00,14897.907790413494
2025-01-06 00:00:00+00:00,14897.907790413494
2025-01-07 00:00:00+00:00,14897.907790413494
2025-01-08 00:00:00+00:00,15037.918923744111
2025-01-09 00:00:00+00:00,15037.918923744111
2025-01-10 00:00:00+00:00,14732.709922784557
2025-01-13 00:00:00+00:00,14732.709922784557
2025-01-14 00:00:00+00:00,15024.417579255693
2025-01-15 00:00:00+00:00,15024.417579255693
2025-01-16 00:00:00+00:00,15625.274688061989
2025-01-17 00:00:00+00:00,15465.896886243756
2025-01-20 00:00:00+00:00,15465.896886243756
2025-01-21 00:00:00+00:00,15308.14473800407
2025-01-22 00:00:00+00:00,15152.001661676428
2025-01-23 00:00:00+00:00,15152.001661676428
2025-01-24 00:00:00+00:00,15152.001661676428
2025-01-27 00:00:00+00:00,15152.001661676428
2025-01-28 00:00:00+00:00,15152.001661676428
2025-01-29 00:00:00+00:00,15152.001661676428
2025-01-30 00:00:00+00:00,15757.961118210258
2025-01-31 00:00:00+00:00,15757.961118210258
2025-02-03 00:00:00+00:00,16069.96874835082
2025-02-04 00:00:00+00:00,15906.055067117642
2025-02-05 00:00:00+00:00,16220.994957446572
2025-02-06 00:00:00+00:00,16220.994957446572
2025-02-07 00:00:00+00:00,16373.440516896453
2025-02-10 00:00:00+00:00,16373.440516896453
2025-02-11 00:00:00+00:00,16854.559677374942
2025-02-12 00:00:00+00:00,16682.643168665716
2025-02-13 00:00:00+00:00,16682.643168665716
2025-02-14 00:00:00+00:00,16682.643168665716
2025-02-17 00:00:00+00:00,16682.643168665716
2025-02-18 00:00:00+00:00,17012.959503405298
